,Symbol,Name,Price,Change,% Change,Market Cap,Total Volume,Circulating Supply
99,SUI20947-USD,Sui USD,0.452861,+0.005953,+1.33%,358.565M,61.325M,61.325M
100,GALA-USD,Gala USD,0.014468,-0.000207,-1.41%,344.787M,23.567M,23.567M
101,FTT-USD,FTX Token USD,1.0413,-0.0202,-1.90%,342.49M,7.706M,7.706M
102,TWT-USD,Trust Wallet Token USD,0.810517,+0.001292,+0.16%,337.702M,8.907M,8.907M
103,LUNC-USD,Terra Classic USD,0.000058,-0.000001,-1.08%,336.761M,10.05M,10.05M
104,GMX11857-USD,GMX USD,35.61,+0.91,+2.63%,321.33M,14.724M,14.724M
105,NEXO-USD,Nexo USD,0.561289,-0.013189,-2.30%,314.322M,1.696M,1.696M
106,COMP5692-USD,Compound USD,39.89,-0.51,-1.26%,312.202M,49.875M,49.875M
107,DYDX-USD,dYdX USD,1.9820,+0.0147,+0.75%,309.698M,24.671M,24.671M
108,USDJ-USD,USDJ USD,1.1295,+0.0057,+0.51%,308.337M,2.326M,2.326M
109,NFT9816-USD,APENFT USD,0.00000031,-0.00000000,-0.09%,308.504M,11.796M,11.796M
110,GUSD-USD,Gemini Dollar USD,0.999325,-0.003902,-0.39%,304.837M,"587,060","587,060"
111,TREX-USD,Trexcoin USD,0.301618,+0.069593,+29.99%,303.684M,"202,022","202,022"
112,DASH-USD,Dash USD,26.30,-0.31,-1.18%,301.352M,36.334M,36.334M
113,WOO-USD,WOO Network USD,0.171458,-0.000548,-0.32%,300.176M,7.166M,7.166M
114,ROSE-USD,Oasis Network USD,0.0433,+0.0011,+2.4876%,283.578M,11.495M,11.495M
115,AR-USD,Arweave USD,4.3233,-0.1264,-2.8404%,282.977M,6.415M,6.415M
116,LUSD-USD,Liquity USD USD,0.995787,-0.000700,-0.07%,279.048M,2.203M,2.203M
117,FLR-USD,Flare USD,0.011098,-0.000365,-3.18%,274.702M,2.502M,2.502M
118,ASTR-USD,Astar USD,0.051595,+0.000169,+0.33%,271.82M,7.289M,7.289M
119,GNO-USD,Gnosis USD,102.34,-0.02,-0.02%,265.009M,9.143M,9.143M
120,BAT-USD,Basic Attention Token USD,0.1773,+0.0025,+1.4344%,264.116M,16.74M,16.74M
121,1INCH-USD,1inch Network USD,0.2527,-0.0033,-1.2788%,261.516M,15.429M,15.429M
122,ZIL-USD,Zilliqa USD,0.0164,-0.0001,-0.5376%,260.444M,12.554M,12.554M
123,CAKE-USD,PancakeSwap USD,1.1861,-0.0204,-1.6878%,256.394M,14.88M,14.88M
124,TOMI23246-USD,tomiNet USD,3.8969,-0.0091,-0.23%,254.738M,30.581M,30.581M
125,DFI-USD,DeFiChain USD,0.336706,-0.003929,-1.15%,252.05M,22.719M,22.719M
126,PEPE24478-USD,Pepe USD,0.00000064,-0.00000000,-0.44%,251.344M,42.524M,42.524M
127,HBTC-USD,Huobi BTC USD,"27,177.46",+56.55,+0.21%,243.768M,"236,676","236,676"
128,ELF-USD,aelf USD,0.377956,+0.008237,+2.23%,243.242M,22.585M,22.585M
129,LRC-USD,Loopring USD,0.178601,-0.001639,-0.91%,237.834M,7.12M,7.12M
130,SFP-USD,SafePal USD,0.559472,-0.006553,-1.16%,235.444M,5.927M,5.927M
131,CELO-USD,Celo USD,0.458625,+0.009331,+2.08%,234.72M,11.952M,11.952M
